[A] device=cuda seed=42 params=411,324 train=720 val=80
[A] epoch 78/150 loss=-3.37823 center=0.5752 sparse=3.8247 val_score=1.24834 best=1.21960 centroid=1.000 falseS=0.862 recall=3.473 precision=0.147 bad=2 lr=9.66e-05 peak_mb=7356 elapsed=2975.6s
[A] epoch 79/150 loss=-3.40562 center=0.5710 sparse=3.7820 val_score=1.24655 best=1.21960 centroid=1.000 falseS=0.846 recall=3.660 precision=0.158 bad=3 lr=9.44e-05 peak_mb=7356 elapsed=3013.6s
[A] epoch 80/150 loss=-3.36401 center=0.5856 sparse=3.7577 val_score=1.21906 best=1.21906 centroid=1.000 falseS=0.850 recall=3.009 precision=0.159 bad=0 lr=9.23e-05 peak_mb=7356 elapsed=3051.1s
[A] epoch 81/150 loss=-3.39601 center=0.5710 sparse=3.7394 val_score=1.22600 best=1.21906 centroid=1.000 falseS=0.857 recall=3.323 precision=0.157 bad=1 lr=9.02e-05 peak_mb=7356 elapsed=3089.5s
[A] epoch 82/150 loss=-3.37736 center=0.5618 sparse=3.7486 val_score=1.29715 best=1.21906 centroid=1.000 falseS=0.817 recall=4.229 precision=0.189 bad=2 lr=8.81e-05 peak_mb=7356 elapsed=3127.5s
[A] epoch 83/150 loss=-3.44882 center=0.5643 sparse=3.6909 val_score=1.24118 best=1.21906 centroid=1.000 falseS=0.841 recall=3.460 precision=0.164 bad=3 lr=8.60e-05 peak_mb=7356 elapsed=3164.9s
[A] epoch 84/150 loss=-3.45086 center=0.5548 sparse=3.6744 val_score=1.23717 best=1.21906 centroid=1.000 falseS=0.816 recall=3.885 precision=0.189 bad=4 lr=8.38e-05 peak_mb=7356 elapsed=3202.5s
[A] epoch 85/150 loss=-3.44068 center=0.5694 sparse=3.6282 val_score=1.18787 best=1.18787 centroid=1.000 falseS=0.850 recall=3.026 precision=0.158 bad=0 lr=8.17e-05 peak_mb=7356 elapsed=3240.1s
[A] epoch 86/150 loss=-3.44870 center=0.5534 sparse=3.5851 val_score=1.25901 best=1.18787 centroid=1.000 falseS=0.818 recall=3.995 precision=0.195 bad=1 lr=7.96e-05 peak_mb=7356 elapsed=3277.5s
[A] epoch 87/150 loss=-3.48567 center=0.5458 sparse=3.5748 val_score=1.19840 best=1.18787 centroid=1.000 falseS=0.816 recall=3.478 precision=0.192 bad=2 lr=7.76e-05 peak_mb=7356 elapsed=3315.3s
